City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Codrington,AU,-38.2667,141.9667,64.35,58,78,13.6,broken clouds
80,Chuy,UY,-33.6971,-53.4616,70.34,83,5,9.91,clear sky
81,Half Moon Bay,US,37.4636,-122.4286,51.75,77,0,6.91,clear sky
82,Bredasdorp,ZA,-34.5322,20.0403,65.05,89,6,3.0,clear sky
83,Albany,US,42.6001,-73.9662,36.64,93,100,1.99,snow
84,Kodiak,US,57.79,-152.4072,36.91,87,100,10.36,overcast clouds
85,Ostrovnoy,RU,68.0531,39.5131,34.32,84,97,19.6,overcast clouds
86,Gandajika,CD,-6.75,23.95,65.66,97,100,1.66,light rain
87,Ulaangom,MN,49.9811,92.0667,-5.24,88,100,1.21,overcast clouds
88,Forio,IT,40.7342,13.8646,39.49,49,91,16.53,overcast clouds
89,Mogadishu,SO,2.0371,45.3438,75.99,84,87,18.7,overcast clouds
90,Kaeo,NZ,-35.1,173.7833,75.65,50,1,3.38,clear sky
91,Khandyga,RU,62.6667,135.6,-57.6,97,94,0.34,overcast clouds
92,Ballina,AU,-28.8667,153.5667,70.02,99,98,14.12,overcast clouds
93,Cherskiy,RU,68.75,161.3,-23.46,95,100,8.3,overcast clouds
94,Raga,SS,8.4596,25.678,69.26,27,75,4.25,broken clouds
95,Lubango,AO,-14.9172,13.4925,58.77,85,100,4.43,overcast clouds
96,Hargeysa,SO,9.56,44.065,56.01,73,31,10.74,scattered clouds
97,Cidreira,BR,-30.1811,-50.2056,73.72,88,37,12.08,scattered clouds
98,Sao Joao Da Barra,BR,-21.6403,-41.0511,74.84,87,58,11.1,broken clouds
99,Artigas,UY,-30.4,-56.4667,81.3,53,5,14.58,clear sky
100,Somerset West,ZA,-34.084,18.8211,68.07,91,0,1.99,clear sky
101,Skibbereen,IE,51.55,-9.2667,39.11,83,100,3.02,light rain
102,Waingapu,ID,-9.6567,120.2641,79.34,84,100,4.34,overcast clouds
103,Ghanzi,BW,-21.5667,21.7833,71.58,64,89,7.0,light rain
104,Yebaishou,CN,41.3975,119.6408,8.76,28,0,4.29,clear sky
105,Hualmay,PE,-11.0964,-77.6139,70.05,80,100,7.65,overcast clouds
106,Takoradi,GH,4.8845,-1.7554,79.2,87,38,7.07,scattered clouds
107,Qaanaaq,GL,77.484,-69.3632,-31.9,56,0,8.46,clear sky
108,Kefamenanu,ID,-9.4467,124.4781,72.48,91,100,2.06,overcast clouds
109,Taywarah,AF,33.35,64.4167,9.91,97,87,4.25,overcast clouds
110,Huarmey,PE,-10.0681,-78.1522,70.81,76,100,6.44,overcast clouds
111,Avera,US,33.194,-82.5271,62.55,44,64,13.33,broken clouds
112,Jamestown,US,42.097,-79.2353,44.02,58,80,1.01,broken clouds
113,Coquimbo,CL,-29.9533,-71.3436,62.33,94,0,5.75,clear sky
114,Resistencia,AR,-27.4606,-58.9839,84.09,77,4,6.31,clear sky
115,Vila Velha,BR,-20.3297,-40.2925,73.94,92,75,8.05,broken clouds
116,Lourdes,FR,43.1,-0.05,36.88,93,100,17.27,overcast clouds
117,Tasiilaq,GL,65.6145,-37.6368,10.56,96,100,1.61,light snow
118,Karasjok,NO,69.4719,25.5112,8.35,97,100,4.14,overcast clouds
119,Kharhial,IN,20.2833,82.7667,63.48,67,11,0.85,few clouds
120,Fountain,US,38.6822,-104.7008,33.28,50,0,3.44,clear sky
121,Miramar,US,25.9873,-80.2323,75.22,77,0,4.61,clear sky
122,Nangong,CN,37.3581,115.3744,26.67,19,0,7.02,clear sky
123,Ahipara,NZ,-35.1667,173.1667,72.52,59,0,10.76,clear sky
124,Tuktoyaktuk,CA,69.4541,-133.0374,-10.95,100,89,7.76,overcast clouds
125,Vao,NC,-22.6667,167.4833,75.96,70,31,11.68,scattered clouds
126,Hasaki,JP,35.7333,140.8333,50.29,70,58,7.56,broken clouds
127,San Patricio,US,28.017,-97.5169,66.06,40,16,8.52,few clouds
128,Port Lincoln,AU,-34.7333,135.8667,63.84,64,100,14.09,overcast clouds
129,Sandpoint,US,48.2766,-116.5533,32.14,100,100,5.75,overcast clouds
130,Port Elizabeth,ZA,-33.918,25.5701,68.31,94,20,8.05,few clouds
131,Port Hedland,AU,-20.3167,118.5667,84.25,74,75,9.22,broken clouds
132,Isangel,VU,-19.55,169.2667,81.79,64,20,9.31,few clouds
133,Pevek,RU,69.7008,170.3133,-19.3,92,100,15.93,overcast clouds
134,Villefontaine,FR,45.6125,5.1456,30.47,93,96,2.3,overcast clouds
135,Kapaa,US,22.0752,-159.319,79.12,80,40,12.66,scattered clouds
136,Chokurdakh,RU,70.6333,147.9167,-36.81,100,94,4.38,overcast clouds
137,Tual,ID,-5.6667,132.75,81.73,76,100,14.74,overcast clouds
138,Saint-Philippe,RE,-21.3585,55.7679,76.59,91,90,12.48,light rain
139,Oskemen,KZ,49.9565,82.6119,10.36,79,100,2.24,overcast clouds
140,Samarai,PG,-10.6167,150.6667,81.25,79,100,9.28,overcast clouds
141,Saint-Pierre,RE,-21.3393,55.4781,76.91,88,100,2.3,light rain
142,Mitsamiouli,KM,-11.3847,43.2844,81.73,77,83,14.05,light rain
143,Omsukchan,RU,62.5333,155.8,-31.32,95,100,5.7,overcast clouds
144,Wajid,SO,3.8093,43.2471,71.76,62,9,19.08,clear sky
145,Butaritari,KI,3.0707,172.7902,80.85,80,100,18.12,overcast clouds
146,Walvis Bay,NA,-22.9575,14.5053,65.17,88,82,7.09,broken clouds
147,Hithadhoo,MV,-0.6,73.0833,80.11,77,100,11.77,light rain
148,Morehead,US,37.2711,-87.1764,43.95,67,100,11.5,overcast clouds
149,Barrow,US,71.2906,-156.7887,-9.38,77,100,12.66,overcast clouds
150,Sao Filipe,CV,14.8961,-24.4956,73.13,72,8,14.94,clear sky
151,Puerto Del Rosario,ES,28.5004,-13.8627,64.15,77,75,26.46,broken clouds
152,Nishihara,JP,26.1842,127.7558,65.48,54,20,13.8,few clouds
153,Mercedes,AR,-34.6515,-59.4307,79.79,59,0,12.91,clear sky
154,Nokaneng,BW,-19.6667,22.2667,69.13,87,100,5.21,overcast clouds
155,Hibbing,US,47.4272,-92.9377,20.55,86,100,11.5,overcast clouds
156,Puerto Ayora,EC,-0.7393,-90.3518,75.54,97,23,1.99,few clouds
157,Labuhan,ID,-6.8844,112.2051,80.98,77,100,5.77,light rain
158,Aykhal,RU,66.0,111.5,-38.42,99,72,10.0,broken clouds
159,Edson,CA,53.5835,-116.4356,23.14,68,0,3.44,clear sky
160,Touros,BR,-5.1989,-35.4608,78.76,79,100,10.16,overcast clouds
161,Abu Kamal,SY,34.4506,40.9171,50.47,70,0,1.79,clear sky
162,Riohacha,CO,11.5444,-72.9072,78.49,72,70,15.41,broken clouds
163,Honiara,SB,-9.4333,159.95,86.27,66,100,6.76,overcast clouds
164,Gondar,ET,12.6,37.4667,57.45,43,16,4.88,few clouds
165,Santa Marta De Tormes,ES,40.9506,-5.6272,46.42,73,100,10.36,overcast clouds
166,Faanui,PF,-16.4833,-151.75,80.47,76,23,17.56,light rain
167,Sabang,ID,5.8933,95.3214,80.73,76,100,17.38,overcast clouds
168,Ribeira Grande,PT,38.5167,-28.7,58.77,75,94,15.99,overcast clouds
169,Kota Belud,MY,6.351,116.4305,84.45,67,100,4.12,overcast clouds
170,Praia Da Vitoria,PT,38.7333,-27.0667,56.75,76,75,8.55,broken clouds
171,Carballo,ES,43.213,-8.691,53.02,95,100,8.12,overcast clouds
172,Sosnovo,RU,60.5514,30.2144,32.25,95,100,1.34,overcast clouds
173,Hoquiam,US,46.9809,-123.8893,44.01,91,0,4.61,clear sky
174,Krasnodon,UA,48.2923,39.7373,31.8,84,15,13.58,few clouds
175,Nove Mesto Na Morave,CZ,49.5614,16.0742,23.54,73,96,1.99,overcast clouds
176,Atar,MR,20.5169,-13.0499,62.64,43,0,6.98,clear sky
